Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,Contingency & Reserves,Contingency,Contingency & Reserves,Reserve/Desg,Other Financing Uses,Total of Other Financing Uses,5000000,5000000
2015,Contingency & Reserves,Contingency,Contingency & Reserves,Reserve/Desg,Other Financing Uses,Total of Other Financing Uses,5600000,2599979
2014,Contingency & Reserves,Contingency,Contingency & Reserves,Reserve/Desg,Other Financing Uses,Total of Other Financing Uses,10000000,9700000
2014,Contingency & Reserves,Contingency,Contingency & Reserves,Contingency,Other Financing Uses,Total of Other Financing Uses,38250505,38085100
2015,Contingency & Reserves,Contingency,Contingency & Reserves,Contingency,Other Financing Uses,Total of Other Financing Uses,38250505,38250505
2013,Contingency & Reserves,Contingency,Contingency & Reserves,Contingency,Other Financing Uses,Total of Other Financing Uses,45018673,45018673
2015,"Cultural, Recreation & Education",County Library,County Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,188000,188000
2013,"Cultural, Recreation & Education",County Library,County Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,188000,188000
2014,"Cultural, Recreation & Education",County Library,County Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,188000,188000
2015,"Cultural, Recreation & Education",County Library,County Library,Other Charges,Other Charges,Total of Other Charges,1146396,1146396
2013,"Cultural, Recreation & Education",County Library,County Library,Other Charges,Other Charges,Total of Other Charges,1146396,1146396
2014,"Cultural, Recreation & Education",County Library,County Library,Other Charges,Other Charges,Total of Other Charges,1146396,1146396
2013,"Cultural, Recreation & Education",County Library,County Library,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1473104,1473104
2014,"Cultural, Recreation & Education",County Library,County Library,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1624331,1613531
2015,"Cultural, Recreation & Education",County Library,County Library,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1703605,1694145
2015,"Cultural, Recreation & Education",County Library,County Library,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9671028,9688829
2013,"Cultural, Recreation & Education",County Library,County Library,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10277468,10287293
2014,"Cultural, Recreation & Education",County Library,County Library,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10839665,10850465
2013,"Cultural, Recreation & Education",County Library,County Library,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17475385,17465560
2014,"Cultural, Recreation & Education",County Library,County Library,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17705368,17705368
2015,"Cultural, Recreation & Education",County Library,County Library,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19214023,19205682
2015,"Cultural, Recreation & Education",County Library,Library Special Tax,Other Charges,Other Charges,Total of Other Charges,3299,3299
2013,"Cultural, Recreation & Education",County Library,Library Special Tax,Other Charges,Other Charges,Total of Other Charges,4243,4243
2014,"Cultural, Recreation & Education",County Library,Library Special Tax,Other Charges,Other Charges,Total of Other Charges,4243,4243
2015,"Cultural, Recreation & Education",County Library,Library Special Tax,Fixed Assets,Fixed Assets,Total of Fixed Assets,49000,49000
2013,"Cultural, Recreation & Education",County Library,Library Special Tax,Fixed Assets,Fixed Assets,Total of Fixed Assets,49000,49000
2014,"Cultural, Recreation & Education",County Library,Library Special Tax,Fixed Assets,Fixed Assets,Total of Fixed Assets,49000,49000
2014,"Cultural, Recreation & Education",County Library,Library Special Tax,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1497355,1497355
2013,"Cultural, Recreation & Education",County Library,Library Special Tax,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1515147,1515147
2015,"Cultural, Recreation & Education",County Library,Library Special Tax,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1593752,1593752
2014,General Government,Art Commission,Art Commission,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8679,8679
2013,General Government,Art Commission,Art Commission,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9856,9856
2014,General Government,Art Commission,Art Commission,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160668,160668
2013,General Government,Art Commission,Art Commission,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160668,160668
2013,General Government,Art Commission,Art Commission,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,392403,392403
2014,General Government,Art Commission,Art Commission,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,396949,396949
2015,General Government,Art Commission,Arts Commission,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-200000,-200000
2015,General Government,Art Commission,Arts Commission,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7810,8075
2015,General Government,Art Commission,Arts Commission,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,360668,360668
2015,General Government,Art Commission,Arts Commission,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,415180,415180
2015,General Government,Assessor,Assessor,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1589762,1635830
2014,General Government,Assessor,Assessor,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1635830,1635830
2013,General Government,Assessor,Assessor,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1635830,1635830
2013,General Government,Assessor,Assessor,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3405959,3405959
2014,General Government,Assessor,Assessor,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3449802,3507837
2015,General Government,Assessor,Assessor,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3566915,3533631
2013,General Government,Assessor,Assessor,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18296016,18296016
2014,General Government,Assessor,Assessor,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18485468,18485468
2015,General Government,Assessor,Assessor,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19035672,19035672
2014,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1015140,1015140
2015,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1029570,1035094
2013,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1055258,1055258
2014,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1748041,1769203
2015,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1748041,1748041
2013,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2026204,2026204
2013,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7356413,7263855
2014,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7596319,7575157
2015,General Government,Auditor-Controller,Auditor-Controller - Clerk-Recorder,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7846174,7846174
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-70000,-70000
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-70000,-70000
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-70000,-70000
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Other Charges,Other Charges,Total of Other Charges,50000,50000
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Other Charges,Other Charges,Total of Other Charges,100000,100000
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Other Charges,Other Charges,Total of Other Charges,100000,100000
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1152442,1171506
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1171506,1171506
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1171506,1171506
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3130531,3130531
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3180041,3202874
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3233586,3226130
2013,General Government,Auditor-Controller,Auditor-Controller Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,15516710,15160134
2014,General Government,Auditor-Controller,Auditor-Controller Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,16477912,16477912
2015,General Government,Auditor-Controller,Auditor-Controller Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17135268,17098367
2015,General Government,Board of Supervisors,Board of Supervisors,Other Charges,Other Charges,Total of Other Charges,148468,148468
2014,General Government,Board of Supervisors,Board of Supervisors,Other Charges,Other Charges,Total of Other Charges,160675,165405
2013,General Government,Board of Supervisors,Board of Supervisors,Other Charges,Other Charges,Total of Other Charges,165405,165405
2013,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,74287,74287
2015,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,82911,82911
2014,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,88386,88386
2013,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,180459,180459
2015,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,199310,199397
2014,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,208090,208090
2014,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,217280,217280
2015,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,231448,231448
2013,General Government,Board of Supervisors,Board of Supervisors - Boardwide,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,234546,234546
2013,General Government,Board of Supervisors,Board of Supervisors - District 1,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,13526,13526
2014,General Government,Board of Supervisors,Board of Supervisors - District 1,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,16668,16668
2015,General Government,Board of Supervisors,Board of Supervisors - District 1,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,23951,25049
2015,General Government,Board of Supervisors,Board of Supervisors - District 1,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,319878,319878
2014,General Government,Board of Supervisors,Board of Supervisors - District 1,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,319878,319878
2013,General Government,Board of Supervisors,Board of Supervisors - District 1,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,367928,367928
2013,General Government,Board of Supervisors,Board of Supervisors - District 1,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,950665,950665
2014,General Government,Board of Supervisors,Board of Supervisors - District 1,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1063833,1063833
2015,General Government,Board of Supervisors,Board of Supervisors - District 1,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1111705,1111705
2015,General Government,Board of Supervisors,Board of Supervisors - District 2,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,35853,36573
2013,General Government,Board of Supervisors,Board of Supervisors - District 2,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,82666,82666
2014,General Government,Board of Supervisors,Board of Supervisors - District 2,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,102809,102809
2014,General Government,Board of Supervisors,Board of Supervisors - District 2,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,401597,401597
2015,General Government,Board of Supervisors,Board of Supervisors - District 2,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,483767,483767
2013,General Government,Board of Supervisors,Board of Supervisors - District 2,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,543424,543424
2013,General Government,Board of Supervisors,Board of Supervisors - District 2,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,706029,706029
2014,General Government,Board of Supervisors,Board of Supervisors - District 2,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,895973,895973
2015,General Government,Board of Supervisors,Board of Supervisors - District 2,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,936292,936292
2015,General Government,Board of Supervisors,Board of Supervisors - District 3,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,18905,19633
2013,General Government,Board of Supervisors,Board of Supervisors - District 3,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,23228,23228
2014,General Government,Board of Supervisors,Board of Supervisors - District 3,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,25417,25417
2013,General Government,Board of Supervisors,Board of Supervisors - District 3,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,356558,356558
2014,General Government,Board of Supervisors,Board of Supervisors - District 3,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,394059,394059
2015,General Government,Board of Supervisors,Board of Supervisors - District 3,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,411955,411955
2013,General Government,Board of Supervisors,Board of Supervisors - District 3,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,952333,952333
2014,General Government,Board of Supervisors,Board of Supervisors - District 3,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,980903,980903
2015,General Government,Board of Supervisors,Board of Supervisors - District 3,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1025044,1025044
2013,General Government,Board of Supervisors,Board of Supervisors - District 4,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,40482,40482
2014,General Government,Board of Supervisors,Board of Supervisors - District 4,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,45628,45628
2015,General Government,Board of Supervisors,Board of Supervisors - District 4,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,46535,47174
2015,General Government,Board of Supervisors,Board of Supervisors - District 4,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,398921,398921
2014,General Government,Board of Supervisors,Board of Supervisors - District 4,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,486246,486246
2013,General Government,Board of Supervisors,Board of Supervisors - District 4,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,515548,515548
2013,General Government,Board of Supervisors,Board of Supervisors - District 4,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,776089,776089
2014,General Government,Board of Supervisors,Board of Supervisors - District 4,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,868505,868505
2015,General Government,Board of Supervisors,Board of Supervisors - District 4,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1010537,1010537
2015,General Government,Board of Supervisors,Board of Supervisors - District 5,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3249,4144
2013,General Government,Board of Supervisors,Board of Supervisors - District 5,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3260,3260
2014,General Government,Board of Supervisors,Board of Supervisors - District 5,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3417,3417
2015,General Government,Board of Supervisors,Board of Supervisors - District 5,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,462504,462504
2014,General Government,Board of Supervisors,Board of Supervisors - District 5,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,489418,489418
2013,General Government,Board of Supervisors,Board of Supervisors - District 5,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,539609,539609
2013,General Government,Board of Supervisors,Board of Supervisors - District 5,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,789250,789250
2014,General Government,Board of Supervisors,Board of Supervisors - District 5,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,907544,907544
2015,General Government,Board of Supervisors,Board of Supervisors - District 5,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,989984,989984
2014,General Government,Community Development Agency,CDA Capital,Fixed Assets,Fixed Assets,Total of Fixed Assets,14160264,14160264
2015,General Government,Community Development Agency,CDA Capital,Fixed Assets,Fixed Assets,Total of Fixed Assets,15892000,15892000
2015,General Government,Community Development Agency,CDA Recovery Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1725515,1725515
2014,General Government,Community Development Agency,CDA Recovery Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1764489,1764489
2013,General Government,Community Development Agency,CDA Recovery Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4998752,4998752
2015,General Government,Community Development Agency,CDA-Agri Weights Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8636,10822
2013,General Government,Community Development Agency,CDA-Agri Weights Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9306,9306
2014,General Government,Community Development Agency,CDA-Agri Weights Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10598,10598
2015,General Government,Community Development Agency,CDA-Agri Weights Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,232312,232312
2013,General Government,Community Development Agency,CDA-Agri Weights Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,234784,234784
2014,General Government,Community Development Agency,CDA-Agri Weights Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,251505,251505
2013,General Government,Community Development Agency,CDA-Agri Weights Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3120523,3120523
2014,General Government,Community Development Agency,CDA-Agri Weights Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3123250,3123250
2015,General Government,Community Development Agency,CDA-Agri Weights Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3210270,3210270
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5634,5634
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6503,7199
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7022,7022
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Other Charges,Other Charges,Total of Other Charges,335468,335468
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Other Charges,Other Charges,Total of Other Charges,385190,385190
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Other Charges,Other Charges,Total of Other Charges,516139,516139
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,958245,958245
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,973257,973257
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,995056,1016982
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,22168414,22168414
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,22481594,22481594
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,23003828,22981902
2013,General Government,Community Development Agency,CDA-Lead Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1428,1428
2015,General Government,Community Development Agency,CDA-Lead Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1479,1854
2014,General Government,Community Development Agency,CDA-Lead Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1949,1949
2015,General Government,Community Development Agency,CDA-Lead Grants,Other Charges,Other Charges,Total of Other Charges,100000,100000
2014,General Government,Community Development Agency,CDA-Lead Grants,Other Charges,Other Charges,Total of Other Charges,250000,250000
